INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 1 , '12-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,27 , '01-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,28 , '01-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,28 , '02-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,28 , '03-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,29 , '05-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,29 , '08-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 ,29 , '10-AUG-19' , 4, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,29 , '11-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,30 , '05-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,30 , '05-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,30 , '08-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,30 , '10-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,30 , '11-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,31 , '04-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,31 , '04-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,31 , '05-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,32 , '06-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,32 , '07-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 22 ,32 , '08-AUG-19' , 1 , 40000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,33 , '09-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 ,33 , '09-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 ,33 , '15-AUG-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,33 , '15-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,34 , '17-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,34 , '17-AUG-19' , 2, 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 ,34 , '17-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,34 , '17-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,35, '17-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,35, '17-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,35, '19-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 ,35, '22-AUG-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 20 ,36, '17-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,36, '17-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,36, '17-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,36, '18-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,36, '18-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 11 ,36, '18-AUG-19' , 1 , 80000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,37, '17-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 14 ,37, '17-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,37, '18-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,38, '19-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,38, '19-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,38, '22-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 ,38, '22-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,38, '22-AUG-19' , 4, 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,39, '17-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,39, '17-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,39, '19-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 ,39, '19-AUG-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 20 ,39, '23-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,39, '25-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 ,39, '25-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,40, '19-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,40, '19-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,40, '23-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 ,40, '23-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,40, '23-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 ,41, '18-AUG-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,41, '18-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,41, '18-AUG-19' , 3, 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,41, '18-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,42, '19-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 ,42, '19-AUG-19' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 12 ,42, '19-AUG-19' , 1 , 80000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,43, '19-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,43, '22-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 ,44, '19-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,44, '19-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,44, '20-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,44, '20-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,45, '22-AUG-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,45, '22-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,45, '22-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,45, '26-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 ,45, '26-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,45, '26-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,45, '26-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,46, '20-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,46, '21-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 22 ,46, '21-AUG-19' , 1 , 40000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 8 ,49, '22-AUG-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,49, '22-AUG-19' , 4, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,49, '25-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,49, '25-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 ,49, '25-AUG-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,50, '01-SEP-19' , 4 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,51, '25-AUG-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,51, '29-AUG-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 ,51, '29-AUG-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,52, '01-SEP-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,52, '01-SEP-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,52, '02-SEP-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,52, '02-SEP-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,53, '01-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,53, '02-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 ,53, '02-SEP-19' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,54, '01-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,54, '01-SEP-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,54, '01-SEP-19' , 3, 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,54, '02-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,55, '01-SEP-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,55, '01-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,55, '01-SEP-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 ,56, '04-SEP-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,56, '06-SEP-19' , 5, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,56, '07-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,57, '03-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,57, '03-SEP-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,57, '03-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,57, '04-SEP-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,57, '04-SEP-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,57, '04-SEP-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,57, '04-SEP-19' , 1 , 100000 );
